storage_type, n_hashes, bench, time
BitStorage, 1000000, insert, 0.0631439
BitStorage, 1000000, query, 0.000923093
BitStorage, 1000000, insert_and_query, 0.0550144
NibbleStorage, 1000000, insert, 0.120075
NibbleStorage, 1000000, query, 0.0577885
NibbleStorage, 1000000, insert_and_query, 0.172435
ByteStorage, 1000000, insert, 0.0620856
ByteStorage, 1000000, query, 0.0341217
ByteStorage, 1000000, insert_and_query, 0.0852835
SparseppSetStorage, 1000000, insert, 0.140137
SparseppSetStorage, 1000000, query, 0.0574382
SparseppSetStorage, 1000000, insert_and_query, 0.0576081
BitStorage, 1000000, insert, 0.0628373
BitStorage, 1000000, query, 0.000931962
BitStorage, 1000000, insert_and_query, 0.0555232
NibbleStorage, 1000000, insert, 0.121108
NibbleStorage, 1000000, query, 0.0572456
NibbleStorage, 1000000, insert_and_query, 0.170611
ByteStorage, 1000000, insert, 0.0613432
ByteStorage, 1000000, query, 0.0358454
ByteStorage, 1000000, insert_and_query, 0.0854224
SparseppSetStorage, 1000000, insert, 0.149034
SparseppSetStorage, 1000000, query, 0.06197
SparseppSetStorage, 1000000, insert_and_query, 0.0601707
BitStorage, 1000000, insert, 0.0669575
BitStorage, 1000000, query, 0.000948654
BitStorage, 1000000, insert_and_query, 0.0557316
NibbleStorage, 1000000, insert, 0.121176
NibbleStorage, 1000000, query, 0.0584366
NibbleStorage, 1000000, insert_and_query, 0.179477
ByteStorage, 1000000, insert, 0.0626806
ByteStorage, 1000000, query, 0.033942
ByteStorage, 1000000, insert_and_query, 0.0864654
SparseppSetStorage, 1000000, insert, 0.152805
SparseppSetStorage, 1000000, query, 0.0597176
SparseppSetStorage, 1000000, insert_and_query, 0.0646982
BitStorage, 10000000, insert, 0.688611
BitStorage, 10000000, query, 0.00861695
BitStorage, 10000000, insert_and_query, 0.570199
NibbleStorage, 10000000, insert, 1.3821
NibbleStorage, 10000000, query, 0.58328
NibbleStorage, 10000000, insert_and_query, 1.9028
ByteStorage, 10000000, insert, 1.01244
ByteStorage, 10000000, query, 0.694075
ByteStorage, 10000000, insert_and_query, 1.36527
SparseppSetStorage, 10000000, insert, 3.15629
SparseppSetStorage, 10000000, query, 1.01601
SparseppSetStorage, 10000000, insert_and_query, 1.04824
BitStorage, 10000000, insert, 0.693305
BitStorage, 10000000, query, 0.00852692
BitStorage, 10000000, insert_and_query, 0.571986
NibbleStorage, 10000000, insert, 1.37853
NibbleStorage, 10000000, query, 0.608608
NibbleStorage, 10000000, insert_and_query, 1.9106
ByteStorage, 10000000, insert, 0.992559
ByteStorage, 10000000, query, 0.642955
ByteStorage, 10000000, insert_and_query, 1.2984
SparseppSetStorage, 10000000, insert, 3.3988
SparseppSetStorage, 10000000, query, 1.03593
SparseppSetStorage, 10000000, insert_and_query, 1.0877
BitStorage, 10000000, insert, 0.693079
BitStorage, 10000000, query, 0.00850541
BitStorage, 10000000, insert_and_query, 0.574579
NibbleStorage, 10000000, insert, 1.36563
NibbleStorage, 10000000, query, 0.593785
NibbleStorage, 10000000, insert_and_query, 1.93486
ByteStorage, 10000000, insert, 1.0689
ByteStorage, 10000000, query, 0.682019
ByteStorage, 10000000, insert_and_query, 1.31007
SparseppSetStorage, 10000000, insert, 3.16232
SparseppSetStorage, 10000000, query, 1.034
SparseppSetStorage, 10000000, insert_and_query, 1.06438
BitStorage, 100000000, insert, 12.9407
BitStorage, 100000000, query, 0.0858594
BitStorage, 100000000, insert_and_query, 11.5814
NibbleStorage, 100000000, insert, 35.1527
NibbleStorage, 100000000, query, 11.5689
NibbleStorage, 100000000, insert_and_query, 39.334
ByteStorage, 100000000, insert, 18.2633
ByteStorage, 100000000, query, 12.0827
ByteStorage, 100000000, insert_and_query, 23.1057
SparseppSetStorage, 100000000, insert, 37.5477
SparseppSetStorage, 100000000, query, 13.6976
SparseppSetStorage, 100000000, insert_and_query, 14.305
BitStorage, 100000000, insert, 12.6724
BitStorage, 100000000, query, 0.0866564
BitStorage, 100000000, insert_and_query, 11.6212
NibbleStorage, 100000000, insert, 35.8003
NibbleStorage, 100000000, query, 11.698
NibbleStorage, 100000000, insert_and_query, 40.7328
ByteStorage, 100000000, insert, 18.6892
ByteStorage, 100000000, query, 12.3062
ByteStorage, 100000000, insert_and_query, 23.857
SparseppSetStorage, 100000000, insert, 40.109
SparseppSetStorage, 100000000, query, 15.063
SparseppSetStorage, 100000000, insert_and_query, 15.5305
BitStorage, 100000000, insert, 14.5727
BitStorage, 100000000, query, 0.0877802
BitStorage, 100000000, insert_and_query, 13.409
NibbleStorage, 100000000, insert, 36.2644
NibbleStorage, 100000000, query, 11.7604
NibbleStorage, 100000000, insert_and_query, 43.5258
ByteStorage, 100000000, insert, 18.9261
ByteStorage, 100000000, query, 12.1173
ByteStorage, 100000000, insert_and_query, 23.5365
SparseppSetStorage, 100000000, insert, 39.1827
SparseppSetStorage, 100000000, query, 14.3981
SparseppSetStorage, 100000000, insert_and_query, 15.0425
