storage_type, n_hashes, bench, time
BitStorage, 1000000, insert, 0.0625674
BitStorage, 1000000, query, 0.000905981
BitStorage, 1000000, insert_and_query, 0.0491752
NibbleStorage, 1000000, insert, 0.120048
NibbleStorage, 1000000, query, 0.00208323
NibbleStorage, 1000000, insert_and_query, 0.109952
ByteStorage, 1000000, insert, 0.0623846
ByteStorage, 1000000, query, 0.0354167
ByteStorage, 1000000, insert_and_query, 0.0865789
SparseppSetStorage, 1000000, insert, 0.179774
SparseppSetStorage, 1000000, query, 0.0611802
SparseppSetStorage, 1000000, insert_and_query, 0.0905216
BitStorage, 1000000, insert, 0.0625607
BitStorage, 1000000, query, 0.000841657
BitStorage, 1000000, insert_and_query, 0.0492456
NibbleStorage, 1000000, insert, 0.120266
NibbleStorage, 1000000, query, 0.00209426
NibbleStorage, 1000000, insert_and_query, 0.110343
ByteStorage, 1000000, insert, 0.0625439
ByteStorage, 1000000, query, 0.0352484
ByteStorage, 1000000, insert_and_query, 0.0856105
SparseppSetStorage, 1000000, insert, 0.182004
SparseppSetStorage, 1000000, query, 0.0594491
SparseppSetStorage, 1000000, insert_and_query, 0.0828405
BitStorage, 1000000, insert, 0.0643767
BitStorage, 1000000, query, 0.00110098
BitStorage, 1000000, insert_and_query, 0.0500835
NibbleStorage, 1000000, insert, 0.130185
NibbleStorage, 1000000, query, 0.00207659
NibbleStorage, 1000000, insert_and_query, 0.132291
ByteStorage, 1000000, insert, 0.0692883
ByteStorage, 1000000, query, 0.0401227
ByteStorage, 1000000, insert_and_query, 0.0930019
SparseppSetStorage, 1000000, insert, 0.187986
SparseppSetStorage, 1000000, query, 0.0638816
SparseppSetStorage, 1000000, insert_and_query, 0.0888845
BitStorage, 10000000, insert, 0.689492
BitStorage, 10000000, query, 0.00811241
BitStorage, 10000000, insert_and_query, 0.526702
NibbleStorage, 10000000, insert, 1.83847
NibbleStorage, 10000000, query, 0.0208569
NibbleStorage, 10000000, insert_and_query, 1.7224
ByteStorage, 10000000, insert, 1.27891
ByteStorage, 10000000, query, 0.863827
ByteStorage, 10000000, insert_and_query, 1.69305
SparseppSetStorage, 10000000, insert, 3.55688
SparseppSetStorage, 10000000, query, 0.982162
SparseppSetStorage, 10000000, insert_and_query, 1.27368
BitStorage, 10000000, insert, 0.688653
BitStorage, 10000000, query, 0.00811374
BitStorage, 10000000, insert_and_query, 0.536749
NibbleStorage, 10000000, insert, 1.88208
NibbleStorage, 10000000, query, 0.0208473
NibbleStorage, 10000000, insert_and_query, 1.74502
ByteStorage, 10000000, insert, 1.27728
ByteStorage, 10000000, query, 0.847658
ByteStorage, 10000000, insert_and_query, 1.71529
SparseppSetStorage, 10000000, insert, 3.70529
SparseppSetStorage, 10000000, query, 0.983366
SparseppSetStorage, 10000000, insert_and_query, 1.28086
BitStorage, 10000000, insert, 0.686945
BitStorage, 10000000, query, 0.00805954
BitStorage, 10000000, insert_and_query, 0.52687
NibbleStorage, 10000000, insert, 1.73095
NibbleStorage, 10000000, query, 0.0206599
NibbleStorage, 10000000, insert_and_query, 1.86569
ByteStorage, 10000000, insert, 1.36255
ByteStorage, 10000000, query, 0.826719
ByteStorage, 10000000, insert_and_query, 1.49751
SparseppSetStorage, 10000000, insert, 3.42668
SparseppSetStorage, 10000000, query, 0.9904
SparseppSetStorage, 10000000, insert_and_query, 1.2593
BitStorage, 100000000, insert, 13.3921
BitStorage, 100000000, query, 0.0810081
BitStorage, 100000000, insert_and_query, 12.2354
NibbleStorage, 100000000, insert, 35.644
NibbleStorage, 100000000, query, 0.205971
NibbleStorage, 100000000, insert_and_query, 35.1459
ByteStorage, 100000000, insert, 17.7834
ByteStorage, 100000000, query, 12.0112
ByteStorage, 100000000, insert_and_query, 23.5733
SparseppSetStorage, 100000000, insert, 40.6824
SparseppSetStorage, 100000000, query, 14.1955
SparseppSetStorage, 100000000, insert_and_query, 18.2339
BitStorage, 100000000, insert, 13.834
BitStorage, 100000000, query, 0.0820102
BitStorage, 100000000, insert_and_query, 12.1666
NibbleStorage, 100000000, insert, 36.144
NibbleStorage, 100000000, query, 0.209505
NibbleStorage, 100000000, insert_and_query, 36.5899
ByteStorage, 100000000, insert, 17.9203
ByteStorage, 100000000, query, 12.0414
ByteStorage, 100000000, insert_and_query, 23.7325
SparseppSetStorage, 100000000, insert, 41.3193
SparseppSetStorage, 100000000, query, 14.2118
SparseppSetStorage, 100000000, insert_and_query, 18.269
BitStorage, 100000000, insert, 13.8073
BitStorage, 100000000, query, 0.0819659
BitStorage, 100000000, insert_and_query, 11.8591
NibbleStorage, 100000000, insert, 34.7564
NibbleStorage, 100000000, query, 0.204547
NibbleStorage, 100000000, insert_and_query, 34.1655
ByteStorage, 100000000, insert, 17.4852
ByteStorage, 100000000, query, 11.917
ByteStorage, 100000000, insert_and_query, 23.0664
SparseppSetStorage, 100000000, insert, 40.0762
SparseppSetStorage, 100000000, query, 13.7209
SparseppSetStorage, 100000000, insert_and_query, 16.8111
